"~id","~labels","quantities::NetVolume::kind","quantities::Length::kind","quantities::Width::value","quantities::NetSideArea::value","name","quantities::NetVolume::value","id","quantities::Width::kind","quantities::NetSideArea::kind","quantities::Length::value","properties::LoadBearing::kind","properties::Status::kind","properties::IsExternal::kind","properties::Status::enumeration_name","properties::LoadBearing::value","properties::IsExternal::value","properties::Status::domain","properties::Status::value","quantities::CrossSectionArea::kind","quantities::CrossSectionArea::value","predefined_type","code","scheme_id","uri","properties::ConstructionMethod::kind","properties::ConstructionMethod::value"
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:16","IfcFootingType;TYPE",,,,,"house - foundation",,"39zsrh6sTE69jN0aDa_2y3",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:17","IfcWallType;TYPE",,,,,"house - outer wall - house back",,"0_8SeeJGr948J4bU1RPXce",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:18","IfcWallType;TYPE",,,,,"house - outer wall - house front",,"0KOC4PbVP4CgUUcPIljzX8",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:19","IfcWallType;TYPE",,,,,"house - outer wall - house front right",,"2JyKYAYaHEEwkOiNxZBS0J",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:20","IfcChimneyType;TYPE",,,,,"house - chimney",,"10FwQBcdzD9ve3W6PvBTti",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:21","IfcWallType;TYPE",,,,,"house - inner wall",,"3sv$5PJEr5hP_mSgN$A$GJ",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:22","IfcRoofType;TYPE",,,,,"house - roof",,"0GE$iSXKL8jAEeHi$mszPq",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","IfcBeamType;TYPE",,,,,"house - girder",,"1_UeVn6yDFiQNhUkRsBNZI",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:24","IfcDiscreteAccessoryType;TYPE",,,,,"beam shoe",,"1i7uuLYVf6ShdGFfCgAhuD",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:25","IfcMaterial;MATERIAL",,,,,"concrete_reinforced_in-situ",,"IfcMaterial:56",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","IfcMaterial;MATERIAL",,,,,"stone_sand-lime",,"IfcMaterial:81",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","IfcMaterial;MATERIAL",,,,,"wood_spruce_beam",,"IfcMaterial:218",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:28","IfcMaterial;MATERIAL",,,,,"metal_steel-galvanized",,"IfcMaterial:347",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","IfcBuildingStorey;SPATIAL",,,,,"00 groundfloor",,"1Ano2ZUxnEIvVQ_beukl8b",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:30","IfcBuilding;SPATIAL",,,,,"Single-family house",,"0c$N1CTon2BB2Sp89385G8",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:31","IfcProject;PROJECT",,,,,"ifc silly sample scene - project",,"2Ndyd$OSX7s9A04nc4lyye",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:32","IfcSite;SPATIAL",,,,,"environment - site",,"23sFQGRy90RxVbRHD9iSE2",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:33","IfcSite;SPATIAL",,,,,"house - site",,"1Pbuu0tu59NfhrTsztVBK1",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:34","ELEMENT;IfcRoof",,,,,"house - roof",,"2iPwJwpPDCSgMheXwk9cBT",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:35","CLASSIFICATION_REF;IfcClassificationReference",,,,,"Single-family house",,"IfcClassificationReference:35",,,,,,,,,,,,,,,"E-AAA","IfcClassification:34","https://identifier.buildingsmart.org/uri/molio/cciconstruction/1.0/class/E-AAA",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:36","ELEMENT;IfcWall",,,,,"house - outer wall - house back",,"0DyViLJJ175RvWQi1rE7a6",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:37","ELEMENT;IfcWall",,,,,"house - outer wall - house front",,"3SGBcf7Lv0r80vKtUCgOpf",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:38","ELEMENT;IfcWall",,,,,"house - outer wall - house front right",,"3oNJ9yHi5FJuFnK8yg68Yt",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:39","ELEMENT;IfcWall",,,,,"house - inner wall",,"2gTJhghMT81QThk15l2VwR",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:40","ELEMENT;IfcBeam",,,,,"girder",,"0fqX614OH1YO1Njdxms2$Q",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:41","ELEMENT;IfcBeam",,,,,"girder",,"0rh7bRO0L9fg1NzgGKU$Ut",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:42","ELEMENT;IfcBeam",,,,,"girder",,"3roxUKbVv98xiUcl22_T07",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:43","ELEMENT;IfcBeam",,,,,"girder",,"0Lvk$Qa81D5et3l3a4S9Vk",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:44","ELEMENT;IfcBeam",,,,,"girder",,"2ddLgAnQf4mBfh5IpUp54U",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:45","ELEMENT;IfcBeam",,,,,"girder",,"2fjJuPht9EIQaZQYZfC1Op",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:46","ELEMENT;IfcFooting",,,,,"house - foundation",,"0pFmhV8oD1dB40_b4pscr8",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:47","ELEMENT;IfcChimney",,,,,"house - chimney",,"3dkFAzOGrAIuOzY_RdrdVv",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:48","ELEMENT;IfcDiscreteAccessory",,,,,"beam shoe",,"2r_8UEywH9_RLHe8z$Xa8J",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:49","ELEMENT;IfcDiscreteAccessory",,,,,"beam shoe",,"2cc4uJUVv5BevbidUpn1H3",,,,,,,,,,,,,,"MISSING",,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:50","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",200.0000000000794,21.43257684268954,"Qto_WallBaseQuantities",4.28651536853961,"0VVWsZ$_bFHgmAwNtcydte","IfcQuantityLength","IfcQuantityArea",5200.000000000204,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:51","IfcPropertySet;PSET",,,,,"Pset_WallCommon",,"0ek$CCUjnFefFg04xFxxG_",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","true","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:52","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",200.00000000009933,14.65654653888909,"Qto_WallBaseQuantities",2.9313093077792742,"22KfX2yaj4UBecOFxQr$3y","IfcQuantityLength","IfcQuantityArea",3800.0000000000714,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:53","IfcPropertySet;PSET",,,,,"Pset_WallCommon",,"2DaAsqJGPDexb$sFANyw0e",,,,,"EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>",,"true","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:54","ENRICHED_PROPERTY;IfcProperty",,,,,"Fire Resistance Rating",,"43349ff5-fca7-5d8d-a62d-18ec4c1d2e15",,,,,,,,,,,,,,,"FireResistanceRating",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/FireResistanceRating",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:55","ENRICHED_PROPERTY;IfcProperty",,,,,"Bending Strength",,"8c586c01-a1bd-5dd4-aa4c-4f4bf3a53c8c",,,,,,,,,,,,,,,"BendingStrength",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/BendingStrength",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:60","IfcPropertySet;PSET",,,,,"Pset_BuildingCommon",,"18DB$FpSH4QhNntrrSRVGz",,,,,,,,,,,,,,,,,,"SingleValue","new construction"
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:61","IfcPropertySet;PSET",,,,,"Pset_WallCommon",,"0hVJYXG1r7ywQAq8Vpug40",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","true","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:64","ENRICHED_PROPERTY;IfcProperty",,,,,"Compressive Strength",,"3731535d-541f-5382-bb2f-5a7bc9fce654",,,,,,,,,,,,,,,"CompressiveStrength",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/CompressiveStrength",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:65","ENRICHED_PROPERTY;IfcProperty",,,,,"Mass Density",,"8bd3ab71-0f34-57a6-a798-9d16bd94a932",,,,,,,,,,,,,,,"MassDensity",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/MassDensity",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:66","ENRICHED_PROPERTY;IfcProperty",,,,,"Tensile Strength Perp",,"351c90c3-4bb6-58b8-b5ab-07e28528eed1",,,,,,,,,,,,,,,"TensileStrengthPerp",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/TensileStrengthPerp",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:67","ENRICHED_PROPERTY;IfcProperty",,,,,"Shear Strength",,"3969a185-cf27-519d-bbe6-a0c27cc2b1c8",,,,,,,,,,,,,,,"ShearStrength",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/ShearStrength",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:68","ENRICHED_PROPERTY;IfcProperty",,,,,"Durability Rating",,"567455c6-9c4e-535c-b517-1e7358593ff8",,,,,,,,,,,,,,,"DurabilityRating",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/DurabilityRating",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:69","ENRICHED_PROPERTY;IfcProperty",,,,,"Reinforcement Spacing",,"aa8635cb-6b35-5161-b67c-839aa50bf4a5",,,,,,,,,,,,,,,"ReinforcementSpacing",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/ReinforcementSpacing",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:70","ENRICHED_PROPERTY;IfcProperty",,,,,"Strength Grade",,"dca1aedc-c7a5-5b58-a0b4-1e2d7a8c1343",,,,,,,,,,,,,,,"StrengthGrade",,"https://identifier.buildingsmart.org/uri/buildingsmart/ifc/4.3/prop/StrengthGrade",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:71","ENRICHED_PROPERTY;EtimProperty",,,,,"Masonry mortar type according to EN 998-2",,"59a6fc02-4d14-5ada-9f4e-262c47df2f94",,,,,,,,,,,,,,,"EF010452",,"https://identifier.buildingsmart.org/uri/etim/etim/10.0/prop/EF010452",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:72","ENRICHED_PROPERTY;EtimProperty",,,,,"Thermal resistance value",,"f1b23020-fd71-57ba-96c9-b3539c760d4f",,,,,,,,,,,,,,,"EF010245",,"https://identifier.buildingsmart.org/uri/etim/etim/10.0/prop/EF010245",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:73","ENRICHED_PROPERTY;EtimProperty",,,,,"Flexural strength according to EN 998-1",,"16b7b02e-ef38-51b4-9e36-7306061d9b8b",,,,,,,,,,,,,,,"EF016901",,"https://identifier.buildingsmart.org/uri/etim/etim/10.0/prop/EF016901",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:74","ENRICHED_PROPERTY;EtimProperty",,,,,"Modulus of elasticity",,"a186ae05-b502-5387-be6a-8850f4eda170",,,,,,,,,,,,,,,"EF026335",,"https://identifier.buildingsmart.org/uri/etim/etim/10.0/prop/EF026335",,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:75","ENRICHED_PROPERTY;EtimProperty",,,,,"Type of coating",,"9c15bc14-2800-5f44-9dd0-7e45ac2bcb17",,,,,,,,,,,,,,,"EF024707",,"https://identifier.buildingsmart.org/uri/etim/etim/10.0/prop/EF024707",,
